DATE (MM/DD/YYYY),AVG Air Temperature [deg F],MAX Air Temperature [deg F],MIN Air Temperature [deg F],AVG Rel Humidity [%],MAX Rel Humidity [%],MIN Rel Humidity [%],AVG Avg Wind Speed @ 3m [MPH],MAX Avg Wind Speed @ 3m [MPH],MIN Avg Wind Speed @ 3m [MPH],AVG Peak Wind Speed @ 3m [MPH],MAX Peak Wind Speed @ 3m [MPH],MIN Peak Wind Speed @ 3m [MPH],AVG Station Pressure [inHg],MAX Station Pressure [inHg],MIN Station Pressure [inHg]
5/1/2024,76.2268,87.4940,61.3220,19.3349,34.0900,8.0400,7.5972,24.4721,0.0000,11.1715,30.6460,0.0000,27.2098,27.2561,27.1436
5/2/2024,76.1305,89.6900,60.8360,18.6194,36.3900,6.9380,5.1366,22.8839,0.0000,8.0311,27.2906,0.0000,27.2407,27.2873,27.1868
5/3/2024,77.3261,89.9600,63.8780,19.7970,41.9900,6.8770,5.7147,23.8457,0.0000,8.8923,39.0345,0.0000,27.2277,27.2663,27.1653
5/4/2024,76.8995,89.7620,61.1060,17.8820,31.3000,6.2340,5.5733,20.5574,0.0000,8.6903,25.6129,0.0000,27.2277,27.2670,27.1798
5/5/2024,75.1771,86.7740,63.1760,18.5651,30.0400,9.0400,11.2813,32.4132,0.0000,16.0872,44.0676,0.0000,27.2212,27.2677,27.1493
5/6/2024,69.9283,80.3660,58.8380,20.0174,33.9900,9.3100,8.3480,22.0115,0.0000,11.8487,28.9683,0.0000,27.2837,27.3173,27.2472
5/7/2024,73.1505,87.2060,54.9860,13.3932,25.9200,6.0480,6.7789,23.3536,0.0000,9.8466,30.6460,0.0000,27.2452,27.2989,27.1655
5/8/2024,75.7615,87.0980,62.3120,15.5992,26.4800,8.0800,8.5409,30.1986,0.0000,12.0579,39.0345,0.0000,27.1872,27.2238,27.1251
5/9/2024,74.0838,85.0640,61.2500,15.3423,34.7300,8.0100,8.0973,25.1432,0.0000,11.4258,37.3568,0.0000,27.2615,27.3053,27.2202
5/10/2024,75.1290,88.9520,57.0740,11.7916,23.9200,6.1760,6.5163,22.8168,0.0000,9.7519,32.3237,0.0000,27.2710,27.3179,27.2076
5/11/2024,75.5285,86.8820,59.1620,12.3879,21.9000,7.5310,7.6955,28.3867,0.0000,11.0852,40.7122,0.0000,27.2420,27.2780,27.1854
5/12/2024,76.4232,86.9900,61.0340,14.6442,25.9600,9.3900,6.1834,24.3826,0.0000,9.3777,30.6460,0.0000,27.2540,27.2929,27.2152
5/13/2024,79.4934,92.5880,62.9420,15.9381,29.6000,8.5000,4.7087,21.3851,0.0000,7.6336,28.9683,0.0000,27.2710,27.3238,27.2150
5/14/2024,80.8018,93.7220,65.4080,14.0956,25.3700,7.3560,5.6788,25.5011,0.0000,8.6390,32.3237,0.0000,27.2370,27.2892,27.1533
5/15/2024,79.0643,90.7340,65.1560,16.8708,27.7900,10.0300,6.1600,27.3130,0.0000,9.4563,32.3237,0.0000,27.2152,27.2536,27.1392
5/16/2024,78.6572,86.7560,65.8220,19.2022,38.4600,12.3900,7.7178,35.7015,0.0000,11.2456,44.0676,0.0000,27.2490,27.2831,27.2137
5/17/2024,81.9180,93.6680,66.2900,16.2073,29.0600,8.9900,5.3882,19.9758,0.0000,8.4864,28.9683,0.0000,27.2651,27.3201,27.2097
5/18/2024,84.6263,97.0340,68.3060,14.3375,27.0900,6.7890,6.9473,29.6394,0.0000,10.3198,34.0014,0.0000,27.2864,27.3372,27.2232
5/19/2024,82.8475,95.2700,68.3780,11.5170,20.3100,5.6410,6.2347,23.0404,0.0000,9.3463,32.3237,0.0000,27.3000,27.3524,27.2444
5/20/2024,79.4473,90.9320,66.2180,13.8564,20.1700,7.0120,9.0293,41.1373,0.0000,13.0035,50.7785,0.0000,27.2831,27.3209,27.2443
5/21/2024,80.4601,92.8220,66.2000,15.8189,31.7000,6.5240,8.0357,26.3958,0.0000,11.3984,32.3237,0.0000,27.2505,27.2868,27.2010
5/22/2024,79.1000,93.3620,62.9420,11.8182,27.1800,4.5990,5.6748,25.7024,0.0000,8.7623,35.6791,0.0000,27.2614,27.2994,27.2122
5/23/2024,79.4682,92.4440,63.1400,8.2824,14.1300,4.3260,6.9053,24.0694,0.0000,10.5733,32.3237,0.0000,27.2467,27.2825,27.1929
5/24/2024,81.7229,95.4140,65.6240,12.0165,21.8300,5.9280,6.5647,25.0089,0.0000,10.0495,30.6460,0.0000,27.2405,27.2845,27.1762
5/25/2024,79.6615,88.9160,70.2320,13.7686,22.7100,9.6300,9.3656,28.0288,0.0000,13.2069,39.0345,0.0000,27.2569,27.2849,27.2303
5/26/2024,80.4460,94.9100,63.3560,14.6550,28.0800,7.2580,4.6796,17.8955,0.0000,7.3420,22.2575,0.0000,27.3011,27.3420,27.2608
5/27/2024,83.7853,99.9320,64.7240,11.4608,22.1600,4.6400,4.2362,18.4771,0.0000,6.8357,28.9683,0.0000,27.3210,27.3688,27.2763
5/28/2024,86.0979,100.8140,68.4500,10.9369,20.1100,5.3290,6.3910,25.7471,0.0000,9.5889,32.3237,0.0000,27.3125,27.3498,27.2624
5/29/2024,84.9957,98.4200,69.5300,9.7678,18.4500,4.8410,5.4676,23.3312,0.0000,8.4506,30.6460,0.0000,27.3133,27.3698,27.2528
5/30/2024,85.2272,99.9320,67.3160,10.0839,20.2600,5.1590,4.5885,15.9382,0.0000,7.3004,23.9352,0.0000,27.2843,27.3338,27.2267
5/31/2024,86.9164,100.9400,69.9980,10.4671,22.4500,3.6580,5.5313,21.9220,0.0000,8.4270,27.2906,0.0000,27.2483,27.2877,27.1839
6/1/2024,87.5486,102.3080,69.7640,9.4729,18.9100,3.4230,6.2642,25.4116,0.0000,9.3321,37.3568,0.0000,27.2411,27.2839,27.1824
6/2/2024,86.2164,98.6360,68.5040,10.0702,19.5500,4.1720,6.7877,25.0313,0.0000,10.2447,30.6460,0.0000,27.2472,27.2850,27.1841
6/3/2024,85.4212,98.7440,68.1080,13.6332,26.7500,5.3390,6.4832,21.3627,0.0000,9.7749,27.2906,0.0000,27.2334,27.2749,27.1708
6/4/2024,86.3659,100.5620,69.9260,13.4004,25.7700,5.9820,5.9755,20.8259,0.0000,9.0604,27.2906,0.0000,27.2449,27.2745,27.2100
6/5/2024,88.6836,102.5600,71.2040,13.4540,24.0200,8.0100,6.1454,16.6652,0.0000,9.1679,22.2575,0.0000,27.2658,27.3137,27.2101
6/6/2024,92.0633,105.3860,75.5780,16.1628,28.7000,9.0200,6.6803,21.1614,0.0000,9.7212,27.2906,0.0000,27.2470,27.2996,27.1803
6/7/2024,93.8615,108.3380,78.2060,13.0855,25.9500,5.1070,5.9316,25.1208,0.0000,8.8651,32.3237,0.0000,27.2422,27.2848,27.1740
6/8/2024,90.3567,104.6660,74.7680,10.7404,18.7000,5.4060,6.9127,25.1208,0.0000,10.4813,32.3237,0.0000,27.2694,27.3095,27.2202
6/9/2024,89.2235,101.2280,76.6760,11.1282,20.4500,5.9170,5.7806,19.8640,0.0000,9.2027,28.9683,0.0000,27.2956,27.3419,27.2373
6/10/2024,88.8541,103.2440,72.4640,13.1629,23.7400,6.4280,4.3825,20.8035,0.0000,7.0109,25.6129,0.0000,27.2767,27.3287,27.2097
6/11/2024,91.4140,107.9420,72.9320,11.7579,21.3700,5.0060,4.7489,28.1630,0.0000,7.6569,35.6791,0.0000,27.2677,27.3175,27.2000
6/12/2024,92.7401,105.5120,74.8040,9.6082,19.6000,5.2250,7.6530,23.9128,0.0000,11.0767,32.3237,0.0000,27.3052,27.3509,27.2535
6/13/2024,91.7609,101.5700,79.3220,10.0798,19.3100,6.7370,7.4818,21.8325,0.0000,10.3157,28.9683,0.0000,27.3054,27.3458,27.2673
6/14/2024,90.6104,102.8660,75.9200,10.0915,19.5900,3.5560,6.4159,27.1340,0.0000,9.2552,34.0014,0.0000,27.2650,27.3095,27.2136
6/15/2024,91.1359,106.3760,72.5540,10.5338,17.5700,6.5050,5.2443,28.8788,0.0000,8.4216,34.0014,0.0000,27.2257,27.2833,27.1596
6/16/2024,92.8252,105.8900,77.5220,12.0030,22.1200,6.4310,6.0439,26.7985,0.0000,9.1874,34.0014,0.0000,27.1747,27.2416,27.0929
6/17/2024,90.8971,101.3540,78.4580,13.0610,25.0900,5.7940,10.8221,33.6659,0.0000,15.8847,42.3899,0.0000,27.1187,27.1574,27.0545
6/18/2024,88.9103,99.9860,76.3520,14.2218,23.7200,7.7640,8.0932,25.8590,0.0000,12.1205,37.3568,0.0000,27.1605,27.2177,27.1238
6/19/2024,90.4885,103.3340,76.5680,17.4074,33.1500,7.5560,6.3281,22.3246,0.0000,9.5944,28.9683,0.0000,27.2046,27.2526,27.1450
6/20/2024,91.8552,107.1680,76.1720,23.1983,35.3200,14.0700,6.3668,19.3271,0.0000,11.6728,32.3237,0.0000,27.1688,27.2128,27.0947
6/21/2024,91.0754,104.1980,81.9320,32.5119,54.1800,14.6000,7.6251,22.1457,1.1341,14.7335,37.3568,3.8028,27.2100,27.3001,27.1613
6/22/2024,82.7702,102.1280,71.6900,57.5123,98.4000,24.0600,3.8489,31.0487,0.0000,7.8332,49.1008,0.0000,27.3037,27.3531,27.2758
6/23/2024,86.6350,99.3920,78.1160,52.5131,81.3000,25.1300,5.3439,22.3246,0.0000,8.4046,32.3237,0.0000,27.3036,27.3421,27.2388
6/24/2024,88.8715,101.4980,80.8880,41.6038,60.5800,21.8700,4.4971,22.6154,0.0000,7.0191,25.6129,0.0000,27.2990,27.3394,27.2380
6/25/2024,88.7356,102.1820,75.2000,42.8854,74.0700,22.5300,5.5529,43.4189,0.0000,8.2708,50.7785,0.0000,27.2998,27.3307,27.2500
6/26/2024,92.4912,102.0920,80.9600,34.5243,57.7300,20.5100,7.9172,21.9891,0.0000,11.3334,28.9683,0.0000,27.2938,27.3441,27.2318
6/27/2024,94.4276,104.1260,83.7320,28.8512,50.2900,18.0900,7.5119,29.1920,0.0000,10.6460,35.6791,0.0000,27.2307,27.2868,27.1525
6/28/2024,88.0278,102.5240,75.9560,41.1866,74.1800,20.3100,6.0881,44.3137,0.0000,9.9440,57.4893,0.0000,27.2418,27.2967,27.1850
6/29/2024,87.7427,98.2580,77.9540,42.1736,62.6100,24.0500,6.2408,19.6403,0.0000,9.1060,25.6129,0.0000,27.2825,27.3341,27.2385
6/30/2024,87.6136,101.6060,79.0520,39.5162,54.3900,21.3400,5.0490,15.6586,0.0000,9.4573,35.6791,0.0000,27.3296,27.3713,27.2758
